distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,2,5,2,0.99,2,8,3969.9314600780353,4939.6748985462,5063.388376656138,5273.733263022398,5112.18511342155,9179,9488
norm,2,5,2,0.99,3,8,3885.244870640262,4781.98017022242,4785.05147214514,4899.388825047993,5014.263053738798,6526,4304
norm,2,5,2,0.99,4,8,3976.5980845787867,4935.57144126747,4935.5671652573665,5240.501905070968,5242.822548742368,854,1768
norm,2,5,2,0.99,5,8,4160.087792563202,5244.14801954561,5244.14801954561,5732.975245478454,5557.971581283536,5939,1720
norm,2,5,2,0.99,6,8,3916.7910051398426,4770.401072049422,4786.007831411609,4881.8911583844665,5019.006967120521,706,357
norm,2,5,2,0.99,7,8,3795.610463834149,4588.1201716941205,4590.932387791048,4649.6762628015,5239.98598566042,8351,8493
norm,2,5,2,0.99,8,8,3947.394607046121,4849.59719889456,4853.335940335385,5140.19417516628,5087.288790608618,8499,6129
norm,2,5,2,0.99,9,8,4257.950848998409,5344.838354901247,5355.650566372212,5742.644781044567,5826.961782412092,6978,9023
norm,2,10,3,0.95,0,13,6400.083082724668,4546.473235803845,4546.473235803845,4694.279736166221,5528.456281358572,4681,318
norm,2,10,3,0.95,1,13,6378.840674262934,4517.762572458062,4517.762572458062,4645.271497226514,5220.574468678977,4973,1093
norm,2,10,3,0.95,2,13,7362.736581243658,4381.182966814061,4409.62759234336,4538.244181817001,5185.490420563374,6314,9488
norm,2,10,3,0.95,3,13,6088.694627527172,4720.900361972617,4720.900361972617,4893.251592148096,5501.511239978865,562,5800
norm,2,10,3,0.95,4,13,6118.326808131849,4772.356353090219,4772.356353090219,4916.8033986635755,5469.928050668163,3591,6016
norm,2,10,3,0.95,5,13,6129.874216360163,4685.951298891991,4685.951298891991,4828.633343733086,6113.994456815077,1216,400
norm,2,10,3,0.95,6,13,6229.321660594008,4653.404846663973,4658.081039284041,4832.170841252268,5195.363866061996,706,357
norm,2,10,3,0.95,7,13,6066.124434922057,4627.037758334832,4627.037758334832,4790.635020546425,5345.921283307993,5877,7602
norm,2,10,3,0.95,8,13,6852.307031386118,4444.566455775064,4502.689338292648,4574.977432412836,5040.391044426585,7576,6211
norm,2,10,3,0.95,9,13,6833.644789594507,4395.949852032009,4395.949852032009,4538.901362644772,5084.740309958227,69,9550
norm,2,10,3,0.975,0,13,5947.619458205925,4804.040688546464,4804.040688546464,4971.225436660495,6093.3963810928535,4681,318
norm,2,10,3,0.975,1,13,6819.863265295647,4501.050344934465,4501.050344934465,4615.925617091799,5492.925336694179,1833,9039
norm,2,10,3,0.975,2,13,6049.382634025028,4635.049832201028,4731.648433755415,4788.00583763471,5336.474958899692,3310,7130
norm,2,10,3,0.975,3,13,6047.013920069555,4704.701758366795,4704.701758366795,4832.243103576976,5986.968935055455,1945,4097
norm,2,10,3,0.975,4,13,5746.026994909489,5183.8292419941035,5196.961740637286,5367.054996778339,6411.52924583358,3591,6016
norm,2,10,3,0.975,5,13,5853.001538254546,4799.1165341932865,4799.1165341932865,4937.825121779917,6166.510386821932,8518,1686
norm,2,10,3,0.975,6,13,5852.71569915935,4982.70091262655,4982.70091262655,5187.761877925361,6200.098655174297,1321,8596
norm,2,10,3,0.975,7,13,6327.752126881071,4641.45193713339,4743.474716730388,4816.538987571949,5913.404620140087,7226,4013
norm,2,10,3,0.975,8,13,6281.43674627129,4621.2721659578465,4708.021410998112,4771.015568090575,5674.8423900552225,7576,6211
norm,2,10,3,0.975,9,13,5470.676889769751,5321.358419970291,5321.358419970291,5704.693144045171,5890.822084640723,2038,8866
norm,2,10,3,0.99,0,13,6182.500846211193,7182.777098188993,7203.037014141922,7618.489875925842,8389.047065204906,3719,6729
norm,2,10,3,0.99,1,13,5603.873561700722,5061.800344905818,5064.47138510577,5253.65128398969,6207.264780272404,2505,8869
norm,2,10,3,0.99,2,13,5705.557713975735,4907.0776125147495,5019.63845356928,5063.764739495022,6425.064603923908,3310,7130
norm,2,10,3,0.99,3,13,5629.358725640317,5989.423191231912,6011.3843094137055,6278.964951337585,7193.713091636797,2478,5871
norm,2,10,3,0.99,4,13,5586.417262567203,5367.74817677557,5382.741139921552,5596.574174307583,6562.340935515728,8604,4448
