distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,5,2,0.975,7,6.5,2389.043,2063.4648434343435,2094.24975,2159.983,532,2709
binom,0.5,5,2,0.975,8,6.5,2312.886,1995.4718386363643,2022.513459125,2086.2078159999996,1613,9578
binom,0.5,5,2,0.975,9,6.5,2236.2051874999975,1922.9492784090883,1950.2348349999986,1990.8669049999983,952,2630
binom,0.5,5,2,0.99,0,6.5,2479.4522500000007,2148.11175,2174.4893500000003,2245.10175,9042,659
binom,0.5,5,2,0.99,1,6.5,2577.3636499999993,2235.8857159090917,2266.2611549999992,2349.7531249999993,3706,2992
binom,0.5,5,2,0.99,2,6.5,2603.977250000001,2317.008009636363,2346.158464,2430.3802826000006,602,8346
binom,0.5,5,2,0.99,3,6.5,2578.169250000001,2238.4716196969703,2267.3047,2352.2884299999996,49,8508
binom,0.5,5,2,0.99,4,6.5,2486.635174999999,2152.3773477272734,2180.4436649999993,2272.6232349999996,8071,3558
binom,0.5,5,2,0.99,5,6.5,2581.8835,2238.7784169696984,2267.0968945,2345.4856025,2506,2491
binom,0.5,5,2,0.99,6,6.5,2660.182999999998,2318.364865151514,2347.9012149999994,2440.2432399999993,2649,7404
binom,0.5,5,2,0.99,7,6.5,2413.418674999999,2078.3918026262604,2108.482723699999,2177.2110759999996,7495,9818
binom,0.5,5,2,0.99,8,6.5,2510.088,2226.0042463333352,2254.5988273,2338.2232826,9748,3413
binom,0.5,5,2,0.99,9,6.5,2573.756250000001,2232.7582500000008,2260.28895,2342.0325,7415,5841
binom,0.5,5,3,0.95,0,6.5,2065.427,2041.685614040404,2051.948257,2097.42163625,422,8390
binom,0.5,5,3,0.95,1,6.5,2209.2705,2170.4146121212116,2179.651505,2231.7723499999997,2633,4414
binom,0.5,5,3,0.95,2,6.5,2036.635374172182,2042.830788181818,2051.1993125,2080.4550785,4169,2278
binom,0.5,5,3,0.95,3,6.5,2068.8657499999968,2048.740674242421,2057.639299999997,2088.0504249999967,5040,666
binom,0.5,5,3,0.95,4,6.5,2217.1755,2177.3992858585875,2183.48969,2250.8093099999996,9427,1900
binom,0.5,5,3,0.95,5,6.5,2053.784,2037.0269141414133,2045.6282999999999,2082.0486,2887,4420
binom,0.5,5,3,0.95,6,6.5,2014.4462499999995,2045.64145,2048.9998499999997,2096.4854899999996,5831,3129
binom,0.5,5,3,0.95,7,6.5,2073.4335,2055.713242424242,2064.1926,2096.2021,3410,2118
binom,0.5,5,3,0.95,8,6.5,2152.2915,2111.1471767676762,2121.4293999999995,2163.864,6616,8300
binom,0.5,5,3,0.95,9,6.5,2142.217,2109.6819813636366,2117.8744915,2156.97309225,3245,3614
