distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,5,2,0.95,5,6.5,912.3055,743.3189393939394,741.90136,767.47244,1629,8689
geom,0.5,5,2,0.95,6,6.5,907.3067499999997,738.9013244949494,738.2239099999999,758.9518709999998,1384,6466
geom,0.5,5,2,0.95,7,6.5,911.9682499999998,739.7580873737375,738.6519249999999,768.8552,1937,784
geom,0.5,5,2,0.95,8,6.5,910.9587499999998,741.2193691919192,740.1150449999999,766.89201,4036,7218
geom,0.5,5,2,0.95,9,6.5,908.852,736.3625,735.38252,766.7659199999999,914,5373
geom,0.5,5,2,0.975,0,6.5,988.0965,803.8123232323233,804.1169,829.8049599999999,2279,6091
geom,0.5,5,2,0.975,1,6.5,1065.3255,872.5571939393941,873.2276200000001,909.10956,711,1247
geom,0.5,5,2,0.975,2,6.5,1067.1998124999998,873.1062155303031,873.7049125000001,907.5013125,6196,3120
geom,0.5,5,2,0.975,3,6.5,992.5529999999984,808.2376195707055,808.4676299999984,837.5312274999983,1629,8689
geom,0.5,5,2,0.975,4,6.5,987.3955,803.9871989898991,804.4452,829.69651,1384,6466
geom,0.5,5,2,0.975,5,6.5,991.2385,803.8577333333332,804.2334265000002,837.9677205,1937,784
geom,0.5,5,2,0.975,6,6.5,990.449,805.6911555555554,806.2275845000001,836.5759629999999,4036,7218
geom,0.5,5,2,0.975,7,6.5,1070.747,873.7061949494952,874.22756,910.0878399999999,914,5373
geom,0.5,5,2,0.975,8,6.5,988.0965,803.8123232323233,804.1169,829.8049599999999,2279,6091
geom,0.5,5,2,0.975,9,6.5,1065.3255,872.5571939393941,873.2276200000001,909.10956,711,1247
geom,0.5,5,2,0.99,0,6.5,1324.372,1115.5654575757576,1116.353,1153.9704,6196,3120
geom,0.5,5,2,0.99,1,6.5,1158.1355,956.5650409090906,956.8076719,991.8668491999999,1629,8689
geom,0.5,5,2,0.99,2,6.5,1325.9522499999996,1116.6694227272728,1117.1955500000001,1154.1406499999998,1384,6466
geom,0.5,5,2,0.99,3,6.5,1157.26275,953.3674045454544,953.6786900000002,991.49575,1937,784
geom,0.5,5,2,0.99,4,6.5,1241.94325,1035.3705499999999,1035.9173700000001,1073.29361,4036,7218
geom,0.5,5,2,0.99,5,6.5,1242.62625,1034.6092441818178,1034.9767843,1073.73539125,914,5373
geom,0.5,5,2,0.99,6,6.5,1071.4915,876.7340909090908,876.9618,907.102,2279,6091
geom,0.5,5,2,0.99,7,6.5,1237.558,1033.1069636363636,1033.8974150000001,1072.48846,711,1247
geom,0.5,5,2,0.99,8,6.5,1324.372,1115.5654575757576,1116.353,1153.9704,6196,3120
geom,0.5,5,2,0.99,9,6.5,1158.1355,956.5650409090906,956.8076719,991.8668491999999,1629,8689
geom,0.5,5,3,0.95,0,6.5,859.7862499999998,800.3002691919191,799.10337375,820.2554029999999,1384,6466
geom,0.5,5,3,0.95,1,6.5,863.8937499999997,801.4455681818181,800.6010349999999,825.0805,1937,784
geom,0.5,5,3,0.95,2,6.5,864.5357499999998,803.5811227272726,802.56648,827.37476,4036,7218
geom,0.5,5,3,0.95,3,6.5,959.6871788079433,856.0718454545455,856.53674,885.4823,914,5373
geom,0.5,5,3,0.95,4,6.5,860.7085,800.1029121212118,799.05734,823.35524,2279,6091
geom,0.5,5,3,0.95,5,6.5,928.0155,858.4132933333334,858.055245,882.7915615000001,711,1247
geom,0.5,5,3,0.95,6,6.5,858.147,797.6784848484849,796.9924599999999,821.6349399999999,6196,3120
geom,0.5,5,3,0.95,7,6.5,864.6435,805.6580606060605,804.8625400000001,832.4377,1629,8689
geom,0.5,5,3,0.95,8,6.5,859.7862499999998,800.3002691919191,799.10337375,820.2554029999999,1384,6466
geom,0.5,5,3,0.95,9,6.5,863.8937499999997,801.4455681818181,800.6010349999999,825.0805,1937,784
geom,0.5,5,3,0.975,0,6.5,1010.137,930.1076722222219,930.6292989999998,963.8058249999999,4036,7218
geom,0.5,5,3,0.975,1,6.5,1008.5165,926.9143444444446,927.4293200000001,960.4985099999999,914,5373
geom,0.5,5,3,0.975,2,6.5,1006.701,926.9339818181819,927.43774,960.31952,2279,6091
geom,0.5,5,3,0.975,3,6.5,1084.1929374999986,1000.2707409090898,1000.8749624999983,1034.1400999999983,711,1247
geom,0.5,5,3,0.975,4,6.5,1007.6776874999982,928.414298863635,928.9673349999985,961.8532624999982,6196,3120
geom,0.5,5,3,0.975,5,6.5,936.8082499999983,866.6132695707055,866.6812674999984,898.2707574999985,1629,8689
geom,0.5,5,3,0.975,6,6.5,1006.4,927.3738606060607,927.9258000000001,957.56503,1384,6466
geom,0.5,5,3,0.975,7,6.5,935.5125,862.8459538888891,863.264018,891.5845674999999,1937,784
geom,0.5,5,3,0.975,8,6.5,1010.137,930.1076722222219,930.6292989999998,963.8058249999999,4036,7218
geom,0.5,5,3,0.975,9,6.5,1008.5165,926.9143444444446,927.4293200000001,960.4985099999999,914,5373
geom,0.5,5,3,0.99,0,6.5,1088.506,1002.4527909090909,1003.2513200000001,1039.01766,2279,6091
geom,0.5,5,3,0.99,1,6.5,1251.4505,1160.4326787878788,1160.87655,1198.72424,711,1247
geom,0.5,5,3,0.99,2,6.5,1339.207499999999,1245.2138143939387,1245.7160349999992,1285.6592749999995,6196,3120
